are VBP O
topped VBN O
only RB O
by IN O
the DT B
# # I
2.3 CD I
billion CD I
deficit NN I
of IN O
October NNP B
1988 CD I
. . O

Sanjay NNP B
Joshi NNP I
, , O
European JJ B
economist NN I
at IN O
Baring NNP B
Brothers NNPS I
& CC I
Co. NNP I
, , O
said VBD O
there EX B
is VBZ O
no DT B
sign NN I
that IN O
Britain NNP B
's POS B
manufacturing NN I
industry NN I
is VBZ O
transforming VBG O
itself PRP B
to TO O
boost VB O
exports NNS B
. . O

At IN O
the DT B
same JJ I
time NN I
, , O
he PRP B
remains VBZ O
fairly RB O
pessimistic JJ O
about IN O
the DT B
outlook NN I
for IN O
imports NNS B
, , O
given VBN O
continued VBD B
high JJ I
consumer NN I
and CC I
capital NN I
goods NNS I
inflows NNS I
. . O

He PRP B
reckons VBZ O
the DT B
current JJ I
account NN I
deficit NN I
will MD O
narrow VB O
to TO O
only RB B
# # I
1.8 CD I
billion CD I
in IN O
September NNP B
. . O

However RB O
, , O
Mr. NNP B
Dillow NNP I
said VBD O
he PRP B
believes VBZ O
that IN O
a DT B
reduction NN I
in IN O
raw JJ B
material NN I
stockbuilding VBG I
by IN O
industry NN B
could MD O
lead VB O
to TO O
a DT B
sharp JJ I
drop NN I
in IN O
imports NNS B
. . O

Combined VBN O
with IN O
at IN B
least JJS I
some DT I
rebound NN I
in IN O
exports NNS B
after IN O
August NNP B
's POS B
unexpected JJ I
decline NN I
, , O
the DT B
deficit NN I
could MD O
narrow VB O
to TO O
as RB B
little JJ I
as IN I
# # I
1.3 CD I
billion CD I
. . O

Mr. NNP B
Briscoe NNP I
, , O
who WP B
also RB O
forecasts VBZ O
a DT B
# # I
1.3 CD I
billion CD I
current JJ I
account NN I
gap NN I
, , O
warns VBZ O
that IN O
even RB O
if IN O
the DT B
trade NN I
figures NNS I
are VBP O
bullish JJ O
for IN O
sterling NN B
, , O
the DT B
currency NN I
wo MD O
n't RB O
advance VB O
much JJ B
because IN O
investors NNS B
will MD O
want VB O
to TO O
see VB O
further JJ B
evidence NN I
of IN O
the DT B
turnaround NN I
before IN O
adjusting VBG O
positions NNS B
. . O

Nevertheless RB O
, , O
he PRP B
noted VBD O
, , O
`` `` O
No DT B
one PRP I
will MD O
want VB O
to TO O
go VB O
into IN O
the DT B
trade NN I
figures NNS I
without IN O
a DT B
flat JJ I
position NN I
'' '' O
in IN O
the DT B
pound NN I
. . O

Meanwhile RB O
, , O
overall JJ B
evidence NN I
on IN O
the DT B
economy NN I
remains VBZ O
fairly RB O
clouded VBN O
. . O

In IN O
his PRP$ B
Mansion NNP I
House NNP I
speech NN I
, , O
Mr. NNP B
Lawson NNP I
warned VBD O
that IN O
a DT B
further JJ I
slowdown NN I
can MD O
be VB O
expected VBN O
as IN O
the DT B
impact NN I
of IN O
the DT B
last JJ I
rise NN I
in IN O
interest NN B
rates NNS I
earlier RBR B
this DT I
month NN I
takes VBZ O
effect NN B
. . O

U.K. JJ B
base NN I
rates NNS I
are VBP O
at IN O
their PRP$ B
highest JJS I
level NN I
in IN O
eight CD B
years NNS I
. . O

But CC O
consumer NN B
expenditure NN I
data NNS I
released VBD O
Friday NNP B
do VBP O
n't RB O
suggest VB O
that IN O
the DT B
U.K. NNP I
economy NN I
is VBZ O
slowing VBG O
that DT O
quickly RB O
. . O

The DT B
figures NNS I
show VBP O
that DT O
spending NN B
rose VBD O
0.1 CD B
% NN I
in IN O
the DT B
third JJ I
quarter NN I
from IN O
the DT B
second JJ I
quarter NN I
and CC O
was VBD O
up IN O
3.8 CD B
% NN I
from IN O
a DT B
year NN I
ago RB O
. . O

This DT B
compares VBZ O
with IN O
a DT B
1.6 CD I
% NN I
rise NN I
in IN O
the DT B
second NN I
from IN O
the DT B
first JJ I
quarter NN I
and CC O
a DT B
5.4 CD I
% NN I
increase NN I
from IN O
the DT B
second JJ I
quarter NN I
of IN O
1988 CD B
. . O

Mr. NNP B
Dillow NNP I
said VBD O
the DT B
data NNS I
show VBP O
the DT B
economy NN I
`` `` O
is VBZ O
still RB O
quite RB O
strong JJ O
, , O
'' '' O
but CC O
suggestions NNS B
that IN O
much NN B
of IN O
the DT B
spending NN I
went VBD O
on IN O
services NNS B
rather RB O
than IN O
consumer NN B
goods NNS I
should MD O
reduce VB O
fears NNS B
of IN O
more JJR B
import NN I
rises NNS I
. . O

Certainly RB O
, , O
the DT B
chancellor NN I
has VBZ O
made VBN O
it PRP B
clear JJ O
that IN O
he PRP B
is VBZ O
prepared VBN O
to TO O
increase VB O
interest NN B
rates NNS I
again RB O
if IN O
necessary JJ O
to TO O
both DT O
ensure VB O
that IN O
a DT B
substantial JJ I
slowdown NN I
does VBZ O
take VB O
place NN B
and CC O
that DT O
sterling NN B
does VBZ O
n't RB O
decline VB O
further JJ O
. . O

Thursday NNP B
, , O
he PRP B
reminded VBD O
his PRP$ B
audience NN I
that IN O
the DT B
government NN I
`` `` O
can MD O
not RB O
allow VB O
the DT B
necessary JJ I
rigor NN I
of IN O
monetary JJ B
policy NN I
to TO O
be VB O
undermined VBN O
by IN O
exchange NN B
rate NN I
weakness NN I
. . O
'' '' O

Analysts NNS B
agree VBP O
there EX B
is VBZ O
little JJ B
holding NN O
sterling NN B
firm NN O
at IN O
the DT B
moment NN I
other JJ O
than IN O
Mr. NNP B
Lawson NNP I
's POS B
promise NN I
that IN O
rates NNS B
will MD O
be VB O
pushed VBN O
higher JJR O
if IN O
necessary JJ O
. . O

And CC O
, , O
they PRP B
warn VBP O
, , O
any DT B
further JJ I
drop NN I
in IN O
the DT B
government NN I
's POS B
popularity NN I
could MD O
swiftly RB O
make VB O
this DT B
promise NN I
sound NN O
hollow JJ O
. . O

Sterling NNP B
was VBD O
already RB O
showing VBG O
some DT B
signs NNS I
of IN O
a DT B
lack NN I
of IN O
confidence NN B
in IN O
Mr. NNP B
Lawson NNP I
's POS B
promise NN I
Friday NNP B
. . O
